latitude;longitude;altitude(m)
-22.759794;-48.546256;10
-22.762078;-48.544718;10
-22.762122;-48.544161;10
-22.762122;-48.544161;10
-22.759045;-48.546319;10
-22.757630;-48.546731;10
-22.762169;-48.543547;10
-22.762217;-48.542933;10
-22.756214;-48.547143;10
-22.755027;-48.547395;10
-22.762265;-48.542318;10
-22.762312;-48.541704;10
-22.754905;-48.546900;10
-22.754782;-48.546406;10
-22.762360;-48.541090;10
-22.762408;-48.540476;10
-22.754660;-48.545911;10
-22.754537;-48.545416;10
-22.762456;-48.539861;10
-22.762503;-48.539247;10
-22.754415;-48.544921;10
-22.754292;-48.544426;10
-22.762534;-48.538645;10
-22.762363;-48.538184;10
-22.754170;-48.543931;10
-22.754047;-48.543437;10
-22.762191;-48.537724;10
-22.762020;-48.537263;10
-22.753925;-48.542942;10
-22.753803;-48.542447;10
-22.761848;-48.536803;10
-22.761677;-48.536342;10
-22.753680;-48.541952;10
-22.753558;-48.541457;10
-22.761506;-48.535882;10
-22.761334;-48.535421;10
-22.753435;-48.540962;10
-22.753313;-48.540468;10
-22.761163;-48.534961;10
-22.760991;-48.534500;10
-22.753190;-48.539973;10
-22.753068;-48.539478;10
-22.760820;-48.534040;10
-22.760648;-48.533580;10
-22.752945;-48.538983;10
-22.752823;-48.538488;10
-22.760477;-48.533119;10
-22.760305;-48.532659;10
-22.752323;-48.538258;10
-22.754671;-48.547748;10
-22.759794;-48.546256;10
