latitude;longitude;altitude(m)
-22.757990;-48.547173;10
-22.760713;-48.545057;10
-22.760711;-48.544961;10
-22.760711;-48.544961;10
-22.757910;-48.546873;10
-22.757163;-48.546806;10
-22.760704;-48.544390;10
-22.760697;-48.543818;10
-22.756415;-48.546740;10
-22.755668;-48.546674;10
-22.760690;-48.543247;10
-22.760682;-48.542676;10
-22.755222;-48.546403;10
-22.755048;-48.545945;10
-22.760675;-48.542105;10
-22.760668;-48.541534;10
-22.754875;-48.545487;10
-22.754702;-48.545029;10
-22.760661;-48.540962;10
-22.760627;-48.540409;10
-22.754528;-48.544571;10
-22.754355;-48.544114;10
-22.760404;-48.539985;10
-22.760181;-48.539561;10
-22.754181;-48.543656;10
-22.754008;-48.543198;10
-22.759959;-48.539137;10
-22.759736;-48.538713;10
-22.753834;-48.542740;10
-22.753661;-48.542283;10
-22.759513;-48.538289;10
-22.759290;-48.537865;10
-22.753487;-48.541825;10
-22.753314;-48.541367;10
-22.759067;-48.537441;10
-22.758844;-48.537017;10
-22.753141;-48.540909;10
-22.752967;-48.540451;10
-22.758621;-48.536593;10
-22.760654;-48.540461;10
-22.760713;-48.545057;10
-22.757990;-48.547173;10
