latitude;longitude;altitude(m)
-22.757440;-48.548190;10
-22.759349;-48.546696;10
-22.762197;-48.544076;10
-22.762223;-48.543477;10
-22.762223;-48.543477;10
-22.761990;-48.544006;10
-22.761150;-48.544778;10
-22.762276;-48.542228;10
-22.762329;-48.540978;10
-22.760310;-48.545550;10
-22.759477;-48.546308;10
-22.762271;-48.539980;10
-22.762153;-48.539119;10
-22.758716;-48.546904;10
-22.757954;-48.547500;10
-22.762035;-48.538257;10
-22.761917;-48.537396;10
-22.757331;-48.547781;10
-22.756809;-48.547835;10
-22.761799;-48.536534;10
-22.761681;-48.535673;10
-22.756286;-48.547889;10
-22.755764;-48.547943;10
-22.761562;-48.534811;10
-22.761444;-48.533950;10
-22.755242;-48.547996;10
-22.754719;-48.548050;10
-22.761191;-48.533395;10
-22.760688;-48.533404;10
-22.754197;-48.548104;10
-22.754006;-48.547407;10
-22.760186;-48.533412;10
-22.759684;-48.533420;10
-22.753816;-48.546709;10
-22.753626;-48.546011;10
-22.759182;-48.533429;10
-22.758679;-48.533437;10
-22.753435;-48.545313;10
-22.753245;-48.544615;10
-22.758177;-48.533445;10
-22.757675;-48.533454;10
-22.753055;-48.543916;10
-22.752865;-48.543218;10
-22.757173;-48.533462;10
-22.756671;-48.533470;10
-22.752674;-48.542520;10
-22.752484;-48.541822;10
-22.756168;-48.533479;10
-22.755720;-48.533486;10
-22.752120;-48.541638;10
-22.754002;-48.548544;10
-22.757440;-48.548190;10
